X축 우선순위,총계,,,,,,,,,
나이별,연도,합계(명),전년도(명),성장률(%),구성비(%),목적별,,,,
,,,,,,관광,상용,공용,유학연수,기타
11 ~ 20,2016년 06월,96701,34979,1.765,0.001,89635,44,196,4633,2193
11 ~ 20,2016년 07월,216596,44747,3.84,0.001,211807,50,437,1770,2532
11 ~ 20,2016년 08월,204901,92838,1.207,0.001,186432,71,412,14860,3126
11 ~ 20,2016년 09월,57320,37847,0.515,0,46926,39,144,8721,1490
11 ~ 20,2016년 10월,44647,34249,0.304,0,41848,42,85,1686,986
11 ~ 20,2016년 11월,41403,32487,0.274,0,36970,63,353,2950,1067
11 ~ 20,2016년 12월,88821,68392,0.299,0.001,78477,34,386,7599,2325
11 ~ 20,2017년 01월,79266,70195,0.129,0,75112,32,312,1696,2114
11 ~ 20,2017년 02월,66203,73793,-0.103,0,55534,31,176,9451,1011
11 ~ 20,2017년 03월,78338,68181,0.149,0,68109,30,107,8071,2021
11 ~ 20,2017년 04월,46692,39835,0.172,0,43118,28,524,1552,1470
11 ~ 20,2017년 05월,42085,47621,-0.116,0,36565,43,301,3859,1317
11 ~ 20,2017년 06월,70109,96701,-0.275,0,61672,46,213,6310,1868
11 ~ 20,2017년 07월,96336,216596,-0.555,0.001,91134,55,445,2109,2593
11 ~ 20,2017년 08월,113455,204901,-0.446,0.001,93296,64,451,16745,2899
11 ~ 20,2017년 09월,51974,57320,-0.093,0,42528,48,163,8097,1138
11 ~ 20,2017년 10월,40414,44647,-0.095,0,33310,77,186,5382,1459
11 ~ 20,2017년 11월,42404,41403,0.024,0,37253,61,255,3615,1220
11 ~ 20,2017년 12월,86428,88821,-0.027,0.001,77023,59,386,6556,2404
11 ~ 20,2018년 01월,49448,79266,-0.376,0,45502,36,267,1758,1885
11 ~ 20,2018년 02월,69347,66203,0.047,0,58544,21,153,9447,1182
11 ~ 20,2018년 03월,100206,78338,0.279,0.001,88487,38,144,9491,2046
11 ~ 20,2018년 04월,51485,46692,0.103,0,47650,42,498,2062,1233
11 ~ 20,2018년 05월,49855,42085,0.185,0,45059,50,325,3164,1257
11 ~ 20,2018년 06월,87692,70109,0.251,0.001,80088,33,267,5430,1874
11 ~ 20,2018년 07월,130158,96336,0.351,0.001,124725,72,396,2441,2524
11 ~ 20,2018년 08월,162486,113455,0.432,0.001,142945,43,467,16180,2851
11 ~ 20,2018년 09월,65877,51974,0.267,0,54353,55,165,9952,1352
11 ~ 20,2018년 10월,52880,40414,0.308,0,48548,78,119,2934,1201
11 ~ 20,2018년 11월,55940,42404,0.319,0,50410,63,346,4016,1105
11 ~ 20,2018년 12월,105391,86428,0.219,0.001,95549,51,480,7084,2227
11 ~ 20,2019년 01월,71722,49448,0.45,0,67246,20,358,2288,1810
11 ~ 20,2019년 02월,78049,69347,0.125,0,65845,34,179,10698,1293
11 ~ 20,2019년 03월,117208,100206,0.17,0.001,105683,54,159,9331,1981
11 ~ 20,2019년 04월,73436,51485,0.426,0,69782,38,621,1543,1452
11 ~ 20,2019년 05월,60315,49855,0.21,0,55416,41,405,3321,1132
11 ~ 20,2019년 06월,104329,87692,0.19,0.001,95626,71,302,6637,1693
11 ~ 20,2019년 07월,154997,130158,0.191,0.001,149784,60,519,2519,2115
11 ~ 20,2019년 08월,180162,162486,0.109,0.001,159584,62,505,17481,2530
11 ~ 20,2019년 09월,66911,65877,0.016,0,54725,71,262,10318,1535
11 ~ 20,2019년 10월,63687,52880,0.204,0,59241,83,214,2878,1271
11 ~ 20,2019년 11월,60486,55940,0.081,0,53444,116,248,5543,1135
11 ~ 20,2019년 12월,96265,105391,-0.087,0.001,89498,20,472,5092,1183
11 ~ 20,2020년 01월,79907,71722,0.114,0,76242,18,663,1168,1816
11 ~ 20,2020년 02월,31336,78049,-0.599,0,28960,15,197,1571,593
11 ~ 20,2020년 03월,2621,117208,-0.978,0,1139,5,62,1034,381
11 ~ 20,2020년 04월,1295,73436,-0.982,0,213,0,30,964,88
11 ~ 20,2020년 05월,1163,60315,-0.981,0,500,0,30,452,181
11 ~ 20,2020년 06월,1735,104329,-0.983,0,793,0,70,625,247
11 ~ 20,2020년 07월,1533,154997,-0.99,0,635,2,205,331,360
11 ~ 20,2020년 08월,4191,180162,-0.977,0,397,1,174,3292,327
11 ~ 20,2020년 09월,2734,66911,-0.959,0,306,3,97,2128,200
11 ~ 20,2020년 10월,946,63687,-0.985,0,246,3,45,481,171
11 ~ 20,2020년 11월,1775,60486,-0.971,0,439,5,93,1015,223
11 ~ 20,2020년 12월,2191,96265,-0.977,0,509,8,79,1325,270
11 ~ 20,2021년 01월,994,79907,-0.988,0,196,1,86,445,266
11 ~ 20,2021년 02월,2942,31336,-0.906,0,151,2,54,2523,212
11 ~ 20,2021년 03월,2199,2621,-0.161,0,204,0,65,1706,224
11 ~ 20,2021년 04월,1212,1295,-0.064,0,228,10,64,684,226
11 ~ 20,2021년 05월,2743,1163,1.359,0,1043,8,105,1227,360
11 ~ 20,2021년 06월,3880,1735,1.236,0,2283,8,152,893,544
11 ~ 20,2021년 07월,3661,1533,1.388,0,1807,17,396,628,813
11 ~ 20,2021년 08월,7358,4191,0.756,0,688,6,359,5714,591
11 ~ 20,2021년 09월,3963,2734,0.45,0,353,5,128,3017,460
11 ~ 20,2021년 10월,1488,946,0.573,0,393,17,101,617,360
11 ~ 20,2021년 11월,2085,1775,0.175,0,696,9,100,953,327
11 ~ 20,2021년 12월,4163,2191,0.9,0,1346,11,242,1997,567
11 ~ 20,2022년 01월,1670,994,0.68,0,354,4,197,674,441
11 ~ 20,2022년 02월,4807,2942,0.634,0,332,4,66,4122,283
11 ~ 20,2022년 03월,3789,2199,0.723,0,658,13,66,2800,252
11 ~ 20,2022년 04월,3438,1212,1.837,0,2280,14,139,617,388
11 ~ 20,소계,9364560,9321515,0.005,0.055,8333849,34427,48033,594928,353323
21 ~ 30,2005년 01월,80594,0,0,0,67270,3140,337,1313,8534
21 ~ 30,2005년 02월,98761,0,0,0.001,81097,2872,291,5781,8720
21 ~ 30,2005년 03월,90384,0,0,0.001,77415,3585,272,2788,6324
21 ~ 30,2005년 04월,64895,0,0,0,54423,3748,276,778,5670
21 ~ 30,2005년 05월,66794,0,0,0,54207,4023,376,729,7459
21 ~ 30,2005년 06월,68816,0,0,0,54474,3886,338,917,9201
21 ~ 30,2005년 07월,73514,0,0,0,56439,3721,420,1484,11450
21 ~ 30,2005년 08월,89765,0,0,0.001,65430,4507,353,5252,14223
21 ~ 30,2005년 09월,88330,0,0,0.001,70278,4569,311,2652,10520
21 ~ 30,2005년 10월,80242,0,0,0,66258,4971,340,888,7785
21 ~ 30,2005년 11월,76726,0,0,0,61726,5428,656,792,8124
21 ~ 30,2005년 12월,88470,0,0,0.001,70273,4959,309,813,12116
21 ~ 30,2006년 01월,71462,80594,-0.113,0,54609,3900,308,1550,11095
21 ~ 30,2006년 02월,90419,98761,-0.084,0.001,66428,4430,337,8492,10732
21 ~ 30,2006년 03월,84773,90384,-0.062,0,67511,5285,261,3648,8068
21 ~ 30,2006년 04월,65058,64895,0.003,0,52079,5408,328,912,6331
21 ~ 30,2006년 05월,71337,66794,0.068,0,57435,5706,336,933,6927
21 ~ 30,2006년 06월,73288,68816,0.065,0,58507,5322,292,1280,7887
21 ~ 30,2006년 07월,74950,73514,0.02,0,55178,5324,412,1912,12124
21 ~ 30,2006년 08월,95611,89765,0.065,0.001,68391,5965,339,6962,13954
21 ~ 30,2006년 09월,91955,88330,0.041,0.001,73359,6268,379,3573,8376
21 ~ 30,2006년 10월,86413,80242,0.077,0.001,67603,5284,401,2043,11082
21 ~ 30,2006년 11월,76675,76726,-0.001,0,62981,5390,327,1012,6965
21 ~ 30,2006년 12월,80065,88470,-0.095,0,65631,5004,293,1299,7838
21 ~ 30,2007년 01월,68847,71462,-0.037,0,53080,4345,333,2362,8727
21 ~ 30,2007년 02월,90593,90419,0.002,0.001,67972,3909,275,10038,8399
21 ~ 30,2007년 03월,91181,84773,0.076,0.001,69967,4698,222,7897,8397
21 ~ 30,2007년 04월,69482,65058,0.068,0,53844,5662,308,1586,8082
21 ~ 30,2007년 05월,73761,71337,0.034,0,57527,5305,343,1463,9123
21 ~ 30,2007년 06월,78565,73288,0.072,0,60940,5293,358,2150,9824
21 ~ 30,2007년 07월,77004,74950,0.027,0,56976,5440,428,2805,11355
21 ~ 30,2007년 08월,97890,95611,0.024,0.001,65516,5689,387,9939,16359
21 ~ 30,2007년 09월,95025,91955,0.033,0.001,69298,5710,319,5986,13712
21 ~ 30,2007년 10월,90269,86413,0.045,0.001,68053,6807,272,2539,12598
21 ~ 30,2007년 11월,82250,76675,0.073,0,62220,6803,497,1611,11119
21 ~ 30,2007년 12월,90718,80065,0.133,0.001,68602,5989,282,1892,13953
21 ~ 30,2008년 01월,78315,68847,0.138,0,55498,5373,356,2816,14272
21 ~ 30,2008년 02월,109700,90593,0.211,0.001,69258,4713,279,18600,16850
21 ~ 30,2008년 03월,101942,91181,0.118,0.001,75035,6143,256,7723,12785
21 ~ 30,2008년 04월,73853,69482,0.063,0,55335,6027,279,1885,10327
21 ~ 30,2008년 05월,81316,73761,0.102,0,60955,5891,429,2077,11964
21 ~ 30,2008년 06월,82324,78565,0.048,0,61563,5594,296,2651,12220
21 ~ 30,2008년 07월,89260,77004,0.159,0.001,64898,5579,494,3216,15073
21 ~ 30,2008년 08월,109828,97890,0.122,0.001,66946,5631,426,16117,20708
21 ~ 30,2008년 09월,105787,95025,0.113,0.001,76857,5943,375,6264,16348
21 ~ 30,2008년 10월,95319,90269,0.056,0.001,71608,6030,290,2112,15279
21 ~ 30,2008년 11월,92111,82250,0.12,0.001,71305,5913,440,1810,12643
21 ~ 30,2008년 12월,117600,90718,0.296,0.001,97640,4853,305,2044,12758
21 ~ 30,2009년 01월,114389,78315,0.461,0.001,91376,3572,350,3620,15471
21 ~ 30,2009년 02월,159856,109700,0.457,0.001,109521,3617,287,28517,17914
21 ~ 30,2009년 03월,136622,101942,0.34,0.001,111789,4310,253,7769,12501
21 ~ 30,2009년 04월,100599,73853,0.362,0.001,85210,3900,275,2163,9051
21 ~ 30,2009년 05월,93877,81316,0.154,0.001,74518,4160,413,3134,11652
21 ~ 30,2009년 06월,87425,82324,0.062,0.001,69125,4201,293,3250,10556
21 ~ 30,2009년 07월,101005,89260,0.132,0.001,80335,4234,355,4342,11739
21 ~ 30,2009년 08월,143708,109828,0.308,0.001,94916,4480,312,23752,20248
21 ~ 30,2009년 09월,130002,105787,0.229,0.001,106106,4730,303,6906,11957
21 ~ 30,2009년 10월,123657,95319,0.297,0.001,98515,5294,294,3654,15900
21 ~ 30,2009년 11월,110171,92111,0.196,0.001,90220,5299,667,2489,11496
21 ~ 30,2009년 12월,124352,117600,0.057,0.001,104539,4876,292,2496,12149
21 ~ 30,2010년 01월,111703,114389,-0.023,0.001,88645,3983,356,3884,14835
21 ~ 30,2010년 02월,157398,159856,-0.015,0.001,106768,3259,274,31005,16092
21 ~ 30,2010년 03월,151235,136622,0.107,0.001,118371,4834,274,14099,13657
21 ~ 30,2010년 04월,109434,100599,0.088,0.001,91771,4897,310,2363,10093
21 ~ 30,2010년 05월,117577,93877,0.252,0.001,96472,4874,447,3335,12449
21 ~ 30,2010년 06월,122485,87425,0.401,0.001,98963,5001,381,3340,14800
21 ~ 30,2010년 07월,123361,101005,0.221,0.001,97538,4273,262,5027,16261
21 ~ 30,2010년 08월,169685,143708,0.181,0.001,114062,4881,255,27711,22776
21 ~ 30,2010년 09월,152992,130002,0.177,0.001,120902,4702,254,9899,17235
21 ~ 30,2010년 10월,144148,123657,0.166,0.001,119224,5606,272,2967,16079
21 ~ 30,2010년 11월,133476,110171,0.212,0.001,108770,5878,360,2553,15915
21 ~ 30,2010년 12월,129275,124352,0.04,0.001,107643,4433,181,2984,14034
21 ~ 30,2011년 01월,110955,111703,-0.007,0.001,87015,4026,270,3785,15859
21 ~ 30,2011년 02월,174875,157398,0.111,0.001,110551,3578,174,37444,23128
21 ~ 30,2011년 03월,163202,151235,0.079,0.001,126687,4174,175,12544,19622
21 ~ 30,2011년 04월,129519,109434,0.184,0.001,104878,4115,221,2868,17437
21 ~ 30,2011년 05월,136481,117577,0.161,0.001,110523,4581,270,4240,16867
21 ~ 30,2011년 06월,149761,122485,0.223,0.001,125023,4355,229,3738,16416
21 ~ 30,2011년 07월,157080,123361,0.273,0.001,130706,4453,228,5225,16468
21 ~ 30,2011년 08월,205246,169685,0.21,0.001,148780,4387,229,27685,24165
21 ~ 30,2011년 09월,192339,152992,0.257,0.001,157827,4445,246,11016,18805
21 ~ 30,2011년 10월,175087,144148,0.215,0.001,152257,5000,277,3538,14015
21 ~ 30,2011년 11월,163776,133476,0.227,0.001,142564,4970,428,3061,12753
21 ~ 30,2011년 12월,168892,129275,0.306,0.001,147895,3871,185,3349,13592
21 ~ 30,2012년 01월,153384,110955,0.382,0.001,124466,2815,222,6901,18980
21 ~ 30,2012년 02월,206407,174875,0.18,0.001,149947,3275,155,31625,21405
21 ~ 30,2012년 03월,196915,163202,0.207,0.001,157852,3738,418,12871,22036
21 ~ 30,2012년 04월,166312,129519,0.284,0.001,140299,3989,235,2950,18839
21 ~ 30,2012년 05월,170992,136481,0.253,0.001,142022,4244,258,3869,20599
21 ~ 30,2012년 06월,176786,149761,0.18,0.001,153011,3773,197,4121,15684
21 ~ 30,2012년 07월,173144,157080,0.102,0.001,146861,3679,276,5537,16791
21 ~ 30,2012년 08월,221294,205246,0.078,0.001,168137,3400,271,25006,24480
21 ~ 30,2012년 09월,207044,192339,0.076,0.001,175852,3844,232,11339,15777
21 ~ 30,2012년 10월,187663,175087,0.072,0.001,159334,4507,526,5167,18129
21 ~ 30,2012년 11월,161334,163776,-0.015,0.001,139872,4202,218,3127,13915
21 ~ 30,2012년 12월,177290,168892,0.05,0.001,153054,3428,199,3696,16913
21 ~ 30,2013년 01월,157805,153384,0.029,0.001,131814,2970,262,4477,18282
21 ~ 30,2013년 02월,198585,206407,-0.038,0.001,145564,2625,191,28668,21537
21 ~ 30,2013년 03월,209203,196915,0.062,0.001,168192,3602,192,18523,18694
21 ~ 30,2013년 04월,167572,166312,0.008,0.001,141659,3739,222,3687,18265
21 ~ 30,2013년 05월,162971,170992,-0.047,0.001,132501,5070,258,4781,20361
21 ~ 30,2013년 06월,188551,176786,0.067,0.001,159853,5691,229,4737,18041
21 ~ 30,2013년 07월,187884,173144,0.085,0.001,156875,5610,329,5418,19652
21 ~ 30,2013년 08월,243204,221294,0.099,0.001,187836,4431,243,25198,25496
21 ~ 30,2013년 09월,239808,207044,0.158,0.001,198998,5128,248,12321,23113
21 ~ 30,2013년 10월,202402,187663,0.079,0.001,174841,4850,559,3442,18710
21 ~ 30,2013년 11월,178166,161334,0.104,0.001,154157,4501,369,3660,15479
21 ~ 30,2013년 12월,201028,177290,0.134,0.001,173674,4031,340,4031,18952
21 ~ 30,2014년 01월,179022,157805,0.134,0.001,150465,2961,268,4522,20806
21 ~ 30,2014년 02월,220381,198585,0.11,0.001,160868,3432,307,30828,24946
21 ~ 30,2014년 03월,235067,209203,0.124,0.001,195868,3925,340,15548,19386
21 ~ 30,2014년 04월,232766,167572,0.389,0.001,204233,3583,365,3231,21354
21 ~ 30,2014년 05월,250837,162971,0.539,0.001,216705,4203,359,5265,24305
21 ~ 30,2014년 06월,238191,188551,0.263,0.001,209868,4000,338,5624,18361
21 ~ 30,2014년 07월,216400,187884,0.152,0.001,185124,4402,371,5324,21179
21 ~ 30,2014년 08월,265537,243204,0.092,0.002,203220,3905,443,27591,30378
21 ~ 30,2014년 09월,268686,239808,0.12,0.002,229219,4907,463,10884,23213
21 ~ 30,2014년 10월,267807,202402,0.323,0.002,240895,4359,678,3748,18127
21 ~ 30,2014년 11월,236836,178166,0.329,0.001,208769,4133,459,4545,18930
21 ~ 30,2014년 12월,255382,201028,0.27,0.002,228029,3231,365,4808,18949
21 ~ 30,2015년 01월,222736,179022,0.244,0.001,192743,2842,335,5994,20822
21 ~ 30,2015년 02월,258311,220381,0.172,0.002,200615,2341,286,29164,25905
21 ~ 30,2015년 03월,287370,235067,0.223,0.002,240253,3412,304,20202,23199
21 ~ 30,2015년 04월,284849,232766,0.224,0.002,255496,3006,358,4261,21728
21 ~ 30,2015년 05월,283593,250837,0.131,0.002,247168,3306,449,6990,25680
21 ~ 30,2015년 06월,142451,238191,-0.402,0.001,113475,2045,305,6915,19711
21 ~ 30,2015년 07월,122423,216400,-0.434,0.001,90682,2355,433,6796,22157
21 ~ 30,2015년 08월,215218,265537,-0.189,0.001,149737,3096,409,32922,29054
21 ~ 30,2015년 09월,264858,268686,-0.014,0.002,225217,2962,566,12191,23922
21 ~ 30,2015년 10월,281296,267807,0.05,0.002,248564,3271,620,5814,23027
21 ~ 30,2015년 11월,251276,236836,0.061,0.001,222309,3235,791,6952,17989
21 ~ 30,2015년 12월,275402,255382,0.078,0.002,244848,2537,331,7154,20532
21 ~ 30,2016년 01월,263705,222736,0.184,0.002,231387,2204,369,7010,22735
21 ~ 30,2016년 02월,296852,258311,0.149,0.002,221719,2024,363,43220,29526
21 ~ 30,2016년 03월,331137,287370,0.152,0.002,291246,2592,405,15161,21733
21 ~ 30,2016년 04월,330209,284849,0.159,0.002,297292,2509,345,5658,24405
21 ~ 30,2016년 05월,316499,283593,0.116,0.002,277024,2835,389,10133,26118
21 ~ 30,2016년 06월,346843,142451,1.435,0.002,311026,2363,320,9272,23862
21 ~ 30,2016년 07월,308476,122423,1.52,0.002,273407,2299,545,9010,23215
21 ~ 30,2016년 08월,347405,215218,0.614,0.002,278223,2714,375,37268,28825
21 ~ 30,2016년 09월,364581,264858,0.377,0.002,318652,2579,479,15240,27631
21 ~ 30,2016년 10월,357984,281296,0.273,0.002,325690,3026,532,6620,22116
21 ~ 30,2016년 11월,298014,251276,0.186,0.002,268684,3054,456,8176,17644
21 ~ 30,2016년 12월,335973,275402,0.22,0.002,302170,2356,364,9326,21757
21 ~ 30,2017년 01월,296874,263705,0.126,0.002,261574,1979,467,7617,25237
21 ~ 30,2017년 02월,348828,296852,0.175,0.002,272730,2356,390,48044,25308
21 ~ 30,2017년 03월,292901,331137,-0.115,0.002,249696,2626,356,18587,21636
21 ~ 30,2017년 04월,221442,330209,-0.329,0.001,189225,2341,402,7011,22463
21 ~ 30,2017년 05월,226178,316499,-0.285,0.001,181360,2671,446,14941,26760
21 ~ 30,2017년 06월,227982,346843,-0.343,0.001,191397,2113,440,11492,22540
21 ~ 30,2017년 07월,219958,308476,-0.287,0.001,181724,2339,538,11103,24254
21 ~ 30,2017년 08월,274120,347405,-0.211,0.002,201183,2379,476,42397,27685
21 ~ 30,2017년 09월,275405,364581,-0.245,0.002,233062,2327,544,15219,24253
21 ~ 30,2017년 10월,288694,357984,-0.194,0.002,236353,2825,596,16741,32179
21 ~ 30,2017년 11월,274555,298014,-0.079,0.002,241502,2818,598,9800,19837
21 ~ 30,2017년 12월,299709,335973,-0.108,0.002,263027,2678,391,10375,23238
21 ~ 30,2018년 01월,244706,296874,-0.176,0.001,208521,2268,442,10736,22739
21 ~ 30,2018년 02월,281742,348828,-0.192,0.002,210012,1773,417,42579,26961
21 ~ 30,2018년 03월,354209,292901,0.209,0.002,294370,2451,384,32146,24858
21 ~ 30,2018년 04월,309195,221442,0.396,0.002,272565,2525,398,10475,23232
21 ~ 30,2018년 05월,299161,226178,0.323,0.002,255516,2525,448,15112,25560
21 ~ 30,2018년 06월,315499,227982,0.384,0.002,276776,2300,562,13162,22699
21 ~ 30,2018년 07월,288227,219958,0.31,0.002,247771,2506,580,13132,24238
21 ~ 30,2018년 08월,345341,274120,0.26,0.002,271256,2415,537,42625,28508
21 ~ 30,2018년 09월,349991,275405,0.271,0.002,295353,2781,550,24937,26370
21 ~ 30,2018년 10월,370551,288694,0.284,0.002,329571,3095,830,11005,26050
21 ~ 30,2018년 11월,334432,274555,0.218,0.002,300529,2717,552,11056,19578
21 ~ 30,2018년 12월,341704,299709,0.14,0.002,304985,2383,478,10879,22979
21 ~ 30,2019년 01월,275925,244706,0.128,0.002,240096,1940,451,12028,21410
21 ~ 30,2019년 02월,331472,281742,0.177,0.002,248763,2064,424,50573,29648
21 ~ 30,2019년 03월,389904,354209,0.101,0.002,329869,2552,462,33294,23727
21 ~ 30,2019년 04월,371597,309195,0.202,0.002,335308,2340,518,10543,22888
21 ~ 30,2019년 05월,355340,299161,0.188,0.002,314382,2410,675,15760,22113
21 ~ 30,2019년 06월,366645,315499,0.162,0.002,323951,2658,830,15315,23891
21 ~ 30,2019년 07월,338386,288227,0.174,0.002,298497,2269,664,14850,22106
21 ~ 30,2019년 08월,388519,345341,0.125,0.002,307610,2321,641,49725,28222
21 ~ 30,2019년 09월,395973,349991,0.131,0.002,339186,2751,693,25497,27846
21 ~ 30,2019년 10월,419644,370551,0.132,0.002,381680,2715,906,12712,21631
21 ~ 30,2019년 11월,369001,334432,0.103,0.002,333132,2851,613,14303,18102
21 ~ 30,2019년 12월,367569,341704,0.076,0.002,330855,2030,508,15359,18817
21 ~ 30,2020년 01월,306931,275925,0.112,0.002,266901,1434,567,16599,21430
21 ~ 30,2020년 02월,209971,331472,-0.367,0.001,156296,1036,363,37223,15053
21 ~ 30,2020년 03월,26929,389904,-0.931,0,10109,126,126,11623,4945
21 ~ 30,2020년 04월,8988,371597,-0.976,0,1346,28,54,5814,1746
21 ~ 30,2020년 05월,5191,355340,-0.985,0,1569,48,45,1549,1980
21 ~ 30,2020년 06월,6053,366645,-0.983,0,2558,87,66,1097,2245
21 ~ 30,2020년 07월,7439,338386,-0.978,0,3475,135,126,1023,2680
21 ~ 30,2020년 08월,14574,388519,-0.962,0,2260,186,115,9654,2359
21 ~ 30,2020년 09월,10073,395973,-0.975,0,2703,176,126,5077,1991
21 ~ 30,2020년 10월,6714,419644,-0.984,0,2839,250,122,1397,2106
21 ~ 30,2020년 11월,7110,369001,-0.981,0,3122,255,118,1583,2032
21 ~ 30,2020년 12월,6807,367569,-0.981,0,3670,187,113,801,2036
21 ~ 30,2021년 01월,5822,306931,-0.981,0,2207,267,201,1277,1870
21 ~ 30,2021년 02월,14740,209971,-0.93,0,2035,215,114,9499,2877
21 ~ 30,2021년 03월,11409,26929,-0.576,0,2606,264,113,6067,2359
21 ~ 30,2021년 04월,7711,8988,-0.142,0,2430,270,130,2239,2642
21 ~ 30,2021년 05월,8916,5191,0.718,0,3577,240,160,2049,2890
21 ~ 30,2021년 06월,9414,6053,0.555,0,3872,291,156,1571,3524
21 ~ 30,2021년 07월,10170,7439,0.367,0,4553,239,201,1549,3628
21 ~ 30,2021년 08월,23740,14574,0.629,0,4567,349,277,14967,3580
21 ~ 30,2021년 09월,15380,10073,0.527,0,4145,339,234,7176,3486
21 ~ 30,2021년 10월,10919,6714,0.626,0,5074,440,264,1736,3405
21 ~ 30,2021년 11월,11915,7110,0.676,0,5774,441,237,1935,3528
21 ~ 30,2021년 12월,14043,6807,1.063,0,7115,367,236,1644,4681
21 ~ 30,2022년 01월,11333,5822,0.947,0,4030,313,270,1856,4864
21 ~ 30,2022년 02월,30043,14740,1.038,0,3748,346,193,19665,6091
21 ~ 30,2022년 03월,18780,11409,0.646,0,5154,396,217,7585,5428
21 ~ 30,2022년 04월,21685,7711,1.812,0,12423,520,189,1994,6559
21 ~ 30,소계,35532178,35345840,0.005,0.209,29321006,713767,73067,2071036,3353302
31 ~ 40,2005년 01월,96133,0,0,0.001,79138,6605,513,267,9610
31 ~ 40,2005년 02월,96961,0,0,0.001,79989,5616,448,592,10316
31 ~ 40,2005년 03월,98486,0,0,0.001,81553,7760,495,337,8341
31 ~ 40,2005년 04월,93746,0,0,0.001,77772,7698,620,189,7467
31 ~ 40,2005년 05월,92813,0,0,0.001,75881,7925,558,132,8317
31 ~ 40,2005년 06월,92321,0,0,0.001,73786,7863,603,183,9886
31 ~ 40,2005년 07월,94739,0,0,0.001,75635,7340,631,253,10880
31 ~ 40,2005년 08월,99820,0,0,0.001,78018,8013,663,526,12600
31 ~ 40,2005년 09월,99549,0,0,0.001,80312,8337,615,326,9959
31 ~ 40,2005년 10월,109876,0,0,0.001,91425,9230,601,163,8457
31 ~ 40,2005년 11월,104905,0,0,0.001,85650,9490,1183,168,8414
31 ~ 40,2005년 12월,104621,0,0,0.001,84547,8616,459,134,10865
31 ~ 40,2006년 01월,88619,96133,-0.078,0.001,69285,7498,499,316,11021
31 ~ 40,2006년 02월,92073,96961,-0.05,0.001,70580,8188,414,658,12233
31 ~ 40,2006년 03월,97371,98486,-0.011,0.001,76988,10496,461,376,9050
31 ~ 40,2006년 04월,96781,93746,0.032,0.001,77627,10746,637,164,7607
31 ~ 40,2006년 05월,100678,92813,0.085,0.001,81692,10652,466,144,7724
31 ~ 40,2006년 06월,95475,92321,0.034,0.001,75779,10320,511,191,8674
31 ~ 40,2006년 07월,96594,94739,0.02,0.001,74489,10156,634,245,11070
31 ~ 40,2006년 08월,104512,99820,0.047,0.001,81307,10157,633,566,11849
31 ~ 40,2006년 09월,103528,99549,0.04,0.001,83746,10893,546,278,8065
31 ~ 40,2006년 10월,109136,109876,-0.007,0.001,88905,9500,607,234,9890
31 ~ 40,2006년 11월,105481,104905,0.005,0.001,88030,9709,587,169,6986
31 ~ 40,2006년 12월,96032,104621,-0.082,0.001,79357,8777,380,172,7346
31 ~ 40,2007년 01월,88401,88619,-0.002,0.001,70149,8790,495,373,8594
31 ~ 40,2007년 02월,90580,92073,-0.016,0.001,72835,7348,329,701,9367
31 ~ 40,2007년 03월,97933,97371,0.006,0.001,77207,9695,466,482,10083
31 ~ 40,2007년 04월,102349,96781,0.058,0.001,80048,10552,657,201,10891
31 ~ 40,2007년 05월,100737,100678,0.001,0.001,79041,10348,490,184,10674
31 ~ 40,2007년 06월,99929,95475,0.047,0.001,77418,10319,492,245,11455
31 ~ 40,2007년 07월,99361,96594,0.029,0.001,75180,10225,682,308,12966
31 ~ 40,2007년 08월,107086,104512,0.025,0.001,78294,9859,629,707,17597
31 ~ 40,2007년 09월,107445,103528,0.038,0.001,80161,9800,547,408,16529
31 ~ 40,2007년 10월,123348,109136,0.13,0.001,94425,11424,570,273,16656
31 ~ 40,2007년 11월,111354,105481,0.056,0.001,85607,11077,634,186,13850
31 ~ 40,2007년 12월,110455,96032,0.15,0.001,83339,10124,390,178,16424
31 ~ 40,2008년 01월,101490,88401,0.148,0.001,73207,10381,485,432,16985
31 ~ 40,2008년 02월,103608,90580,0.144,0.001,73100,8341,390,840,20937
31 ~ 40,2008년 03월,110738,97933,0.131,0.001,80381,11686,431,404,17836
31 ~ 40,2008년 04월,106953,102349,0.045,0.001,81096,11137,596,219,13905
31 ~ 40,2008년 05월,109509,100737,0.087,0.001,84039,10370,616,222,14262
31 ~ 40,2008년 06월,101836,99929,0.019,0.001,77634,9591,543,228,13840
31 ~ 40,2008년 07월,106533,99361,0.072,0.001,79743,9067,614,264,16845
31 ~ 40,2008년 08월,105343,107086,-0.016,0.001,74381,9328,785,682,20167
31 ~ 40,2008년 09월,112817,107445,0.05,0.001,83542,9729,555,389,18602
31 ~ 40,2008년 10월,120397,123348,-0.024,0.001,91634,10880,483,184,17216
31 ~ 40,2008년 11월,115112,111354,0.034,0.001,89505,10281,591,155,14580
31 ~ 40,2008년 12월,128308,110455,0.162,0.001,105372,9147,442,171,13176
31 ~ 40,2009년 01월,124342,101490,0.225,0.001,99252,7192,463,385,17050
31 ~ 40,2009년 02월,128426,103608,0.24,0.001,95587,7857,434,873,23675
31 ~ 40,2009년 03월,125818,110738,0.136,0.001,96346,9637,440,437,18958
31 ~ 40,2009년 04월,130228,106953,0.218,0.001,106892,8421,595,194,14126
