X축 우선순위,총계,,,,,,,,,
나이별,연도,합계(명),전년도(명),성장률(%),구성비(%),목적별,,,,
,,,,,,관광,상용,공용,유학연수,기타
0 ~ 10,2011년 10월,17531,14518,0.208,0,16484,6,122,0,919
0 ~ 10,2011년 11월,13443,11853,0.134,0,12366,5,163,4,905
0 ~ 10,2011년 12월,27989,22511,0.243,0,26512,7,202,0,1268
0 ~ 10,2012년 01월,25316,15006,0.687,0,22785,3,185,5,2338
0 ~ 10,2012년 02월,11711,11602,0.009,0,10731,3,91,0,886
0 ~ 10,2012년 03월,18995,17595,0.08,0,17318,7,112,3,1555
0 ~ 10,2012년 04월,22421,16905,0.326,0,20786,1,244,3,1387
0 ~ 10,2012년 05월,18138,13570,0.337,0,17027,5,115,0,991
0 ~ 10,2012년 06월,23916,18852,0.269,0,22661,19,124,2,1110
0 ~ 10,2012년 07월,45399,35514,0.278,0,42468,8,305,1,2617
0 ~ 10,2012년 08월,51282,37904,0.353,0,47322,6,363,8,3583
0 ~ 10,2012년 09월,18886,16113,0.172,0,17688,7,133,4,1054
0 ~ 10,2012년 10월,20014,17531,0.142,0,18462,3,126,1,1422
0 ~ 10,2012년 11월,15131,13443,0.126,0,13948,4,185,2,992
0 ~ 10,2012년 12월,30159,27989,0.078,0,28562,4,174,1,1418
0 ~ 10,2013년 01월,20383,25316,-0.195,0,18031,6,270,7,2069
0 ~ 10,2013년 02월,23204,11711,0.981,0,21831,4,90,3,1276
0 ~ 10,2013년 03월,21843,18995,0.15,0,19994,4,124,2,1719
0 ~ 10,2013년 04월,21531,22421,-0.04,0,19629,118,306,1,1477
0 ~ 10,2013년 05월,18658,18138,0.029,0,16953,479,162,1,1063
0 ~ 10,2013년 06월,29023,23916,0.214,0,26654,1071,154,0,1144
0 ~ 10,2013년 07월,56634,45399,0.247,0,52027,2398,333,2,1874
0 ~ 10,2013년 08월,66562,51282,0.298,0,61132,1755,318,10,3347
0 ~ 10,2013년 09월,24025,18886,0.272,0,21602,574,157,1,1691
0 ~ 10,2013년 10월,23550,20014,0.177,0,22203,239,114,4,990
0 ~ 10,2013년 11월,16725,15131,0.105,0,15646,6,138,2,933
0 ~ 10,2013년 12월,32102,30159,0.064,0,30365,50,240,1,1446
0 ~ 10,2014년 01월,32015,20383,0.571,0,29476,3,259,6,2271
0 ~ 10,2014년 02월,21972,23204,-0.053,0,20481,1,116,4,1370
0 ~ 10,2014년 03월,24082,21843,0.103,0,22147,76,171,4,1684
0 ~ 10,2014년 04월,32514,21531,0.51,0,30769,10,369,1,1365
0 ~ 10,2014년 05월,28883,18658,0.548,0,27177,135,181,3,1387
0 ~ 10,2014년 06월,39998,29023,0.378,0,38531,87,209,2,1169
0 ~ 10,2014년 07월,77812,56634,0.374,0,73096,2532,367,7,1810
0 ~ 10,2014년 08월,80725,66562,0.213,0,76117,637,413,8,3550
0 ~ 10,2014년 09월,28811,24025,0.199,0,26257,614,183,1,1756
0 ~ 10,2014년 10월,32637,23550,0.386,0,30951,463,158,5,1060
0 ~ 10,2014년 11월,22979,16725,0.374,0,21784,5,250,1,939
0 ~ 10,2014년 12월,40578,32102,0.264,0,38959,9,234,2,1374
0 ~ 10,2015년 01월,28599,32015,-0.107,0,25888,6,347,8,2350
0 ~ 10,2015년 02월,49971,21972,1.274,0,48083,7,180,3,1698
0 ~ 10,2015년 03월,28492,24082,0.183,0,26602,5,161,1,1723
0 ~ 10,2015년 04월,38426,32514,0.182,0,36483,5,463,1,1474
0 ~ 10,2015년 05월,34007,28883,0.177,0,32391,3,249,0,1364
0 ~ 10,2015년 06월,20847,39998,-0.479,0,19778,3,203,1,862
0 ~ 10,2015년 07월,26227,77812,-0.663,0,24119,2,446,5,1655
0 ~ 10,2015년 08월,48068,80725,-0.405,0,43917,4,503,10,3634
0 ~ 10,2015년 09월,32399,28811,0.125,0,30775,3,202,1,1418
0 ~ 10,2015년 10월,35879,32637,0.099,0,34193,4,181,1,1500
0 ~ 10,2015년 11월,23531,22979,0.024,0,22227,3,254,2,1045
0 ~ 10,2015년 12월,40808,40578,0.006,0,39148,4,282,0,1374
0 ~ 10,2016년 01월,45752,28599,0.6,0,42804,0,356,8,2584
0 ~ 10,2016년 02월,46938,49971,-0.061,0,44930,7,169,5,1827
0 ~ 10,2016년 03월,35942,28492,0.261,0,34090,4,195,3,1650
0 ~ 10,2016년 04월,40771,38426,0.061,0,38791,1,483,0,1496
0 ~ 10,2016년 05월,40602,34007,0.194,0,39039,5,306,0,1252
0 ~ 10,2016년 06월,57608,20847,1.763,0,56340,1,260,3,1004
0 ~ 10,2016년 07월,109182,26227,3.163,0.001,106703,3,511,2,1963
0 ~ 10,2016년 08월,104063,48068,1.165,0.001,100295,7,487,15,3259
0 ~ 10,2016년 09월,44376,32399,0.37,0,42340,1,250,4,1781
0 ~ 10,2016년 10월,46308,35879,0.291,0,44894,4,217,0,1193
0 ~ 10,2016년 11월,29202,23531,0.241,0,27870,6,392,5,929
0 ~ 10,2016년 12월,51996,40808,0.274,0,50255,0,441,1,1299
0 ~ 10,2017년 01월,60676,45752,0.326,0,57764,3,454,13,2442
0 ~ 10,2017년 02월,35573,46938,-0.242,0,33971,7,264,5,1326
0 ~ 10,2017년 03월,27902,35942,-0.224,0,26162,5,228,6,1501
0 ~ 10,2017년 04월,33014,40771,-0.19,0,30882,2,614,4,1512
0 ~ 10,2017년 05월,23094,40602,-0.431,0,21353,7,300,3,1431
0 ~ 10,2017년 06월,28439,57608,-0.506,0,27308,6,271,3,851
0 ~ 10,2017년 07월,42483,109182,-0.611,0,40013,12,616,1,1841
0 ~ 10,2017년 08월,42526,104063,-0.591,0,39049,12,633,17,2815
0 ~ 10,2017년 09월,22729,44376,-0.488,0,21484,4,264,6,971
0 ~ 10,2017년 10월,27306,46308,-0.41,0,25250,11,259,8,1778
0 ~ 10,2017년 11월,21764,29202,-0.255,0,20523,6,410,3,822
0 ~ 10,2017년 12월,41515,51996,-0.202,0,39814,4,506,2,1189
0 ~ 10,2018년 01월,25714,60676,-0.576,0,23349,1,439,6,1919
0 ~ 10,2018년 02월,35757,35573,0.005,0,34014,1,205,4,1533
0 ~ 10,2018년 03월,32663,27902,0.171,0,30920,1,264,4,1474
0 ~ 10,2018년 04월,36221,33014,0.097,0,34390,0,590,5,1236
0 ~ 10,2018년 05월,28113,23094,0.217,0,26686,3,333,1,1090
0 ~ 10,2018년 06월,40491,28439,0.424,0,39181,2,358,2,948
0 ~ 10,2018년 07월,57969,42483,0.365,0,55767,4,564,4,1630
0 ~ 10,2018년 08월,59960,42526,0.41,0,56501,4,581,25,2849
0 ~ 10,2018년 09월,29349,22729,0.291,0,27551,7,367,6,1418
0 ~ 10,2018년 10월,35528,27306,0.301,0,34201,5,282,5,1035
0 ~ 10,2018년 11월,29080,21764,0.336,0,27642,1,490,3,944
0 ~ 10,2018년 12월,51155,41515,0.232,0,49543,4,503,3,1102
0 ~ 10,2019년 01월,38495,25714,0.497,0,36036,4,564,8,1883
0 ~ 10,2019년 02월,38885,35757,0.087,0,36952,3,268,13,1649
0 ~ 10,2019년 03월,32866,32663,0.006,0,31108,3,281,7,1467
0 ~ 10,2019년 04월,50923,36221,0.406,0,48883,9,812,3,1216
0 ~ 10,2019년 05월,36666,28113,0.304,0,35323,6,458,1,878
0 ~ 10,2019년 06월,46794,40491,0.156,0,45342,11,462,4,975
0 ~ 10,2019년 07월,68889,57969,0.188,0,66583,6,677,4,1619
0 ~ 10,2019년 08월,74495,59960,0.242,0,70887,9,705,31,2863
0 ~ 10,2019년 09월,34439,29349,0.173,0,32440,7,400,10,1582
0 ~ 10,2019년 10월,43074,35528,0.212,0,41740,2,317,7,1008
0 ~ 10,2019년 11월,31655,29080,0.089,0,30315,3,339,5,993
0 ~ 10,2019년 12월,48286,51155,-0.056,0,46773,1,547,2,963
0 ~ 10,2020년 01월,49503,38495,0.286,0,46729,1,663,9,2101
0 ~ 10,2020년 02월,12934,38885,-0.667,0,11864,0,300,2,768
0 ~ 10,2020년 03월,1282,32866,-0.961,0,770,0,131,0,381
0 ~ 10,2020년 04월,518,50923,-0.99,0,296,0,61,0,161
0 ~ 10,2020년 05월,756,36666,-0.979,0,540,0,62,0,154
0 ~ 10,2020년 06월,963,46794,-0.979,0,594,0,145,1,223
0 ~ 10,2020년 07월,1401,68889,-0.98,0,674,0,368,3,356
0 ~ 10,2020년 08월,1223,74495,-0.984,0,554,0,320,3,346
0 ~ 10,2020년 09월,877,34439,-0.975,0,482,0,198,0,197
0 ~ 10,2020년 10월,845,43074,-0.98,0,490,0,158,1,196
0 ~ 10,2020년 11월,923,31655,-0.971,0,609,1,178,1,134
0 ~ 10,2020년 12월,760,48286,-0.984,0,468,0,128,1,163
0 ~ 10,2021년 01월,679,49503,-0.986,0,334,0,154,3,188
0 ~ 10,2021년 02월,637,12934,-0.951,0,284,0,114,0,239
0 ~ 10,2021년 03월,787,1282,-0.386,0,388,0,166,0,233
0 ~ 10,2021년 04월,800,518,0.544,0,455,0,150,1,194
0 ~ 10,2021년 05월,1567,756,1.073,0,1161,0,189,0,217
0 ~ 10,2021년 06월,1956,963,1.031,0,1327,0,312,0,317
0 ~ 10,2021년 07월,2302,1401,0.643,0,1096,0,516,3,687
0 ~ 10,2021년 08월,1973,1223,0.613,0,736,0,534,6,697
0 ~ 10,2021년 09월,1363,877,0.554,0,714,0,279,0,370
0 ~ 10,2021년 10월,1253,845,0.483,0,765,1,227,0,260
0 ~ 10,2021년 11월,1325,923,0.436,0,825,0,207,2,291
0 ~ 10,2021년 12월,1514,760,0.992,0,804,0,259,2,449
0 ~ 10,2022년 01월,1321,679,0.946,0,435,0,335,0,551
0 ~ 10,2022년 02월,1133,637,0.779,0,463,0,190,0,480
0 ~ 10,2022년 03월,1363,787,0.732,0,788,1,170,2,402
0 ~ 10,2022년 04월,2708,800,2.385,0,2004,2,228,0,474
0 ~ 10,소계,4964374,4944596,0.004,0.029,4626859,12316,64096,545,260558
11 ~ 20,2005년 01월,17063,0,0,0,14947,112,227,244,1533
11 ~ 20,2005년 02월,22924,0,0,0,20490,143,225,986,1080
11 ~ 20,2005년 03월,29029,0,0,0,25849,170,160,930,1920
