"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019
"통계분류(1)",통계분류(2),사례수,호텔,친척 또는 친구집,게스트하우스/호스텔,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,사찰,홈스테이,사례수,호텔,친척 또는 친구집,게스트하우스/호스텔,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,무박,사찰,홈스테이,사례수,호텔,친척 또는 친구집,게스트하우스/호스텔,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,사찰,홈스테이,사례수,호텔,친척 또는 친구집,게스트하우스/호스텔,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,사찰,홈스테이,호텔,친척 또는 친구집,게스트하우스/호스텔,민박/공유숙박,모텔/여관,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,숙박하지않음,호텔,친척 또는 친구집,게스트하우스/호스텔,민박/공유숙박,모텔/여관,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,숙박하지않음
"월별",10월,1133,82.8,3.7,9.9,1.6,3.2,0.7,0,1.6,1333,68.2,10.5,18.3,2,2.2,1,0.2,0.1,1.5,1102,75.8,6.2,20.8,1.2,1.9,0.7,0,0.2,1220,67.6,10.7,22.3,2.3,3.2,1.2,0.1,2.2,70.3,11.3,8.5,7.7,6.8,1.3,2.6,0.9,0.7,74.2,8.5,6.2,8.4,4.8,1.6,1.6,0.5,0.6
"월별",11월,972,80.1,4.7,10.2,2.3,3.7,0.2,0.1,0.6,1128,63.9,12.6,18.9,3.9,3.6,3.3,0.3,0.1,1.2,902,71.9,6.7,18.1,4.6,1,1,0.3,0.1,1139,65.2,10.6,21.3,4.8,2.9,2.9,0.1,1,70.5,13.2,6.8,6,6.9,1.8,1.8,1.1,0.2,72.6,9.4,5.8,7.6,4.7,1.6,1.2,0.8,1
"월별",12월,951,71.5,6.5,13,7.1,6.8,0.4,0,1.2,1109,69.4,9.2,18.8,7.8,2,0.4,0.3,0.1,0.2,937,69.9,5.4,18.1,7.4,2.9,2.1,0,0.2,1190,62.1,11.9,24,9.4,3.9,3,0.9,1.3,71.7,10.4,8,5.6,6.1,3.6,3.1,0.7,0.2,73.4,8.9,6.4,6.3,5.7,3,2.2,0.3,0.7
"거주국",일본,2180,82.3,4.2,9.1,3.1,2.6,0.8,0.1,0.5,2007,79.6,5.8,10.1,2.6,1.9,0.5,0.2,0.4,0.4,1760,82.2,5.4,9.9,1.7,1.3,0.3,0.5,0.5,2610,83.8,5.6,10,2.2,1.1,0.6,0.1,0.9,85.8,4.9,5.1,0.8,4.3,1.1,2.2,0.2,0.2,86.1,4.7,5.6,0.5,2,1.5,0.5,0.2,0.2
"거주국",중국,5379,76.7,4.2,13,2.3,5.4,0.4,0,1.4,6092,69.9,9.5,15.3,2.6,2.9,1.6,0,0.1,2,6017,71.9,6.1,18.2,3.9,3.6,0.3,0,0.2,4582,62.4,13.1,18.2,7.4,3,2.7,0.2,1.1,63.3,17.9,3.9,7.4,9.4,3.4,2.4,1.1,0,66.8,14,2.1,7.6,8.3,2.9,1.3,0.9,0.1
"거주국",홍콩,536,85.7,2.9,10.5,1,1.4,0,0,0.4,574,73.5,1.8,22.8,0.6,2.4,0.1,0,0,0.5,499,68.6,2.6,26.3,1.3,2.5,1.4,0,0.6,743,72.8,3.1,22.9,1.2,4.8,1.2,0,0.8,73.2,2.8,8.3,9,5.8,0.9,5.3,0.8,0,77.9,3,6.3,6.6,5.5,1,2.8,0,0
"거주국",싱가포르,181,82.3,2.6,16.2,1.9,1.9,0,0,0.5,164,74.9,3.6,22.9,0.7,4.3,0,0,0.1,0.3,158,75.2,1.6,20.9,2.8,2.1,4.2,0,0.7,228,75.8,1.7,24,1,2.6,0.3,0,3.6,73.3,2.4,11.8,19.9,2.4,0.4,1.4,0.6,0,76.5,1.6,8.1,16.3,0.4,0.4,2.8,0.2,0
"거주국",대만,619,72.4,2.1,21.2,2,4.2,0.6,0,0.9,568,66.3,2.7,26.9,1.4,1.9,0.4,0.4,0,2.8,639,76,1.6,19.8,1.6,3.3,0.4,0,0.4,1049,69.8,3.8,28,1.8,6,1.4,0.1,0.6,69.9,3.4,9.7,9.7,10.6,0.7,4.8,0.2,0,72.8,2.7,6.1,9,10.3,0.4,3.6,0.3,0
"거주국",태국,399,87.2,4.9,6.7,0.9,0.7,0,0.1,0.4,359,71.3,8.5,20.5,1.6,0.9,0.3,0,0,0.1,324,64.8,5.8,30.7,1,0.5,0.5,0,0.1,509,59.6,7.7,35.9,0.6,2.1,0.8,0.1,1,64.8,11.9,22,3.9,4.2,1.7,4.2,0.3,0.5,76.3,8.4,10.6,2.7,6.1,1.1,4.4,0.1,0
"거주국",말레이시아,221,66.4,2.9,28.7,2.7,2.6,0.2,0,1.6,230,46.3,4.1,46.3,2.9,3.2,0,0,0,2,222,52,1.3,46.3,1.7,1,1,0,1.3,328,55,5.1,42.5,2.5,3.9,1,0,5.1,68.1,3.6,24.6,8.5,5.7,2,1.7,0.9,0.1,63.4,3.8,21.7,10,6.1,0.7,1.7,0.3,0
