"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"통계분류(1)",통계분류(2),사례수,쇼핑,업무수행,자연경관 감상,식도락 관광,고궁/역사유적 방문,미팅 회의 학술대회 박람회 등 참가,연수 교육 연구,휴양 휴식,공연 민속행사 축제참가 및 관람,테마파크,유흥/오락,시티투어 버스 이용,박물관 전시관 방문,스포츠활동,온천 스파,전통문화체험,의료관광,레포츠활동,뷰티관광,카지노,시찰(산업시설등),직업적 스포츠활동,기타,사례수,쇼핑,업무수행,자연경관 감상,식도락 관광,고궁/역사유적 방문,미팅 회의 학술대회 박람회 등 참가,연수 교육 연구,휴양 휴식,공연 민속행사 축제참가 및 관람,유흥/오락,시티투어 버스 이용,박물관 전시관 방문,스포츠활동,온천 스파,전통문화체험,의료관광,레포츠활동,뷰티관광,카지노,시찰(산업시설등),직업적 스포츠활동,기타,사례수,쇼핑,업무수행,자연경관 감상,식도락 관광,고궁/역사유적 방문,미팅 회의 학술대회 박람회 등 참가,연수 교육 연구,휴양 휴식,공연 민속행사 축제참가 및 관람,테마파크,유흥/오락,시티투어 버스 이용,박물관 전시관 방문,스포츠활동,온천 스파,전통문화체험,의료관광,레포츠활동,뷰티관광,카지노,시찰(산업시설등),직업적 스포츠활동,기타,사례수,쇼핑,업무수행,자연경관 감상,식도락 관광,고궁/역사유적 방문,미팅 회의 학술대회 박람회 등 참가,연수 교육 연구,휴양 휴식,공연 민속행사 축제참가 및 관람,테마파크,유흥/오락,시티투어 버스 이용,박물관 전시관 방문,스포츠활동,온천 스파,전통문화체험,의료관광,레포츠활동,뷰티관광,카지노,시찰(산업시설등),직업적 스포츠활동,기타
"월별",8월,1213,47.3,7,17.3,6.2,4.7,4.4,1.7,1.4,1,1,2,0.7,0.7,0.4,1.7,0.5,0.4,0.3,0.4,0.4,0.3,0.1,0.2,1001,36.4,9.7,5,8.7,7.1,4.7,3.4,3.4,4,2.4,2.7,1.4,0.5,0.4,2,0.7,1,0.4,1.2,0.9,0.2,2.1,1154,47.7,6.4,10,6.1,5.8,1.6,4.6,1.2,4.1,1.2,2.7,1.3,1.7,0.5,0.7,1,0.2,0.3,0.2,1,0.6,0.1,1.2,1147,36.4,16,6.2,11.9,6.6,2.1,5.4,1.4,2.7,1.2,3.5,0.5,0.8,0.3,0.3,0.9,1.3,0.3,0.4,0.5,0.1,0.3,0.8
"월별",9월,1051,49.8,11.9,5,7,4.9,3.6,1.8,2.1,2,2.1,1.1,0.9,0.9,0.5,0.6,1.2,1.4,0.7,0.6,0.5,0.1,0.4,1,1153,40.1,10.7,5.4,8.2,9.3,5.9,2,2.3,3.2,1.6,1,1.3,0.1,0.4,0.4,0.8,0.7,0.7,1,0.8,0.6,2,1046,48.4,10.8,10.1,9.9,6.4,1.5,0.5,2.2,2,0.8,2.2,0.4,0.8,0.4,0.5,0.8,0.3,0.5,0.3,0.3,0.1,0,0.9,1122,35.1,16,8,11.6,5.8,3.6,4.2,2.7,2.1,1.1,2.3,0.3,0.9,0.3,0.6,1.6,1,0.5,0.8,0.4,0.7,0.2,0.3
"월별",10월,1133,40.8,13.7,13.1,6.7,6.4,3.2,2.9,2.3,1.3,1.5,0.8,0.7,0.8,0.5,0.5,0.5,0.6,0.7,0.8,0.3,0.5,0.3,1,1333,41.9,10.1,6.9,7.7,8.6,5.9,2.5,1.1,2.7,2.1,0.9,1.9,0.2,0.5,1.2,0.5,0.9,0.7,0.5,0.5,0.5,1.5,1103,46.4,9.7,7.1,9.8,7.8,1.9,1.6,2.6,2.4,1.8,2,0.6,1.1,0.6,0.9,1.2,0.3,0.6,0.5,0.6,0,0,0.6,1221,31.6,14.2,10.2,12.1,8.6,4.4,3.2,1,2.3,0.9,2.2,0.7,1.2,0.8,1,0.8,0.9,1.1,0.5,0.3,0.6,0.2,1.4
"월별",11월,972,37.2,15.9,12.8,4.8,8.6,3.5,2.1,1.9,1.5,1.1,0.9,0.8,0.8,0.6,1,0.9,1.3,0.7,1.3,0.6,0.3,0.3,1.1,1128,35.9,10.6,13.6,6.1,11.2,4,2.4,2.4,1.9,2.7,1.5,1,0.4,0.4,0.2,0.5,0.4,0.6,0.4,0.8,0,2,906,46.1,11,6.3,10,7.3,1.4,3.8,2.3,2.6,0.8,1.6,1.4,1.3,0.3,0.6,0.6,0.2,0.2,0.4,0.5,0.1,0.8,0.7,1146,38.5,11.6,8.1,11.5,7.2,2.5,5.6,1.7,3.6,0.8,1.7,0.4,0.9,0.2,0.9,1.2,0.6,0.8,0.2,0.5,0.4,0.1,0.9
"월별",12월,951,47,6.7,7.6,8.6,4.8,0.6,4.4,2.3,2.7,1.9,1.7,1.4,1.2,2.2,1.5,1,0.7,1.2,0.4,0.5,0.1,0.2,1.4,1109,42.6,6.4,7.1,8.7,6.7,1.6,4.7,4.2,3.1,2.9,0.9,1.6,2.3,1,0.7,0.4,0.4,0.5,0.7,0.4,0.1,1.7,937,45,6.9,7.7,9.5,5.8,1.1,6.3,1.8,3.9,1,2.4,0.4,2.2,2.1,0.4,1.2,0.1,0.3,0.1,0.6,0.6,0,0.7,1195,38.5,6.8,5.5,12.1,6.9,0.6,8.7,1.6,4.1,1.8,3.2,0.8,0.9,1.9,1.1,0.9,1,1.1,0.3,0.4,0.2,0.2,1.4
"거주국",일본,2180,33.4,13.2,7.3,6.7,7.8,4.7,2.8,5,6.1,0.6,1.2,0.8,0.3,0.6,1.5,0.4,0.2,0.2,1.7,0.8,0.4,0.5,3.7,2007,26.2,17.3,5.8,7.3,10.5,4.6,2.4,4.9,8.3,1.2,1,0.3,0.5,0.6,0.5,0.3,0.1,1.3,1.4,0.4,0.2,4.5,1763,32.5,15.9,7.7,10.5,7.6,2.3,1.5,4.1,7.9,0.5,1.3,0.5,0.4,0.5,1.4,0.4,0.2,0.2,0.8,0.8,0,0.2,2.9,2615,38.8,13.7,5.3,17.7,3.7,1.1,2.4,0.7,6.1,0.5,1.2,0.5,0.3,0.5,0.4,0.4,0.8,0.3,1.1,1.6,0.3,0.1,2.6
"거주국",중국,5379,60.9,2.1,18,7.1,3.3,0.7,1.4,1.3,0.5,0.7,0.6,0.4,0.3,0.3,0.4,0.1,0.5,0.2,0.3,0.4,0.1,0.1,0.1,6092,55.2,2.4,12.4,10,5.3,2.3,1.6,1,1.1,1.9,1,1,0.2,0.5,0.5,0.4,0.2,0.5,0.5,0.3,0.2,0.5,6020,62.4,3.6,7.7,10.4,3.1,0.5,2.7,0.7,1,1.3,2.3,0.2,0.9,0.3,0.5,0.4,0.5,0.2,0.3,0.4,0.3,0,0.2,4585,50.9,8.8,5.9,14.2,2,1.4,7.3,0.8,1.5,0.9,2,0.2,0.2,0.6,0.7,0.2,0.5,0.4,0.4,0.2,0.1,0,0.8
"거주국",홍콩,536,55.2,9.6,4.2,9.2,3.8,1.7,1.3,1.2,0.6,3.4,1.2,1,1.1,3.1,0.9,0.5,0.4,0.4,0.3,0.2,0.2,0,0.6,574,49.2,7.7,7,13.5,3.4,0.9,0.8,2.1,1.5,1.1,1.9,1.5,2.9,1.5,1.3,0.3,0.6,0.4,0.1,0.4,0.2,0.2,499,51.7,3.2,7.2,16.6,2.9,0.5,1.5,0.9,2.4,1.3,2.4,2.5,2.4,1.8,0.6,0.8,0,0.3,0.4,0,0.1,0.1,0.5,743,45.9,6.2,7.5,18.8,3.9,1.6,1.2,2.1,2.4,1.3,1.6,0.7,1.6,1.5,1.3,0.7,0.3,0.4,0.4,0.1,0.4,0,0.2
"거주국",싱가포르,181,48.1,17.5,8.2,0.9,5.2,3.7,1.7,2.3,1.5,2.2,0.3,0.3,2.8,2.6,0.7,0.2,0.1,0.6,0,0,0.5,0,0.4,164,36,17.8,10,2.9,6.5,5.7,2.2,2.7,0.3,2.9,0.9,1,4,0.5,1.2,0.3,1.4,0.1,0.3,0.9,0.8,0.5,158,45.7,13.1,6.8,3.5,11.1,2.3,2.5,1.4,0.9,2.3,2.7,0.3,1.1,1.3,0.8,1.5,0.1,1.4,0.1,0.1,0.3,0,0.6,228,48,11.4,10.6,4,8.5,3.2,2.1,1.9,0.3,2.5,1.6,0.7,0.9,1.2,0.7,1.1,0,0.5,0,0.4,0,0.5,0.2
"거주국",대만,619,60.7,2.3,6.6,13.3,3.5,2.1,1.5,0.3,0.9,2,0.9,2.2,0.4,1.1,0.6,0.1,0,0.1,0.3,0.1,0.4,0.4,0.1,568,45.5,4.3,7.4,15.1,9,2.9,1.3,1.2,2.1,1.4,3.7,0.7,1,0.7,0.2,0.1,0,0,0,0.5,0,0.4,639,49.9,3,5.2,12.9,8.3,0.9,1,0.6,4,2.3,1.4,2.9,3.4,1.6,0.7,0.7,0,0.1,0.3,0.4,0.3,0,0.2,1049,45.1,6.9,8.3,16.1,7.1,1.6,1.8,1.6,2.7,0.9,2.1,0.3,0.2,1.3,0.5,1.2,0.5,0.1,0.1,0.3,0.3,0.1,0.8
